algoritmo,tamanho,tipo,execucao,comparacoes,movimentacoes,tempo
Radixsort C.,50000,1,2,0,900000,0.002557
Radixsort B.,50000,1,2,0,900000,0.010529
Bolha,50000,1,3,49999,0,0.000015
Coquetel,50000,1,3,49999,0,0.000014
Selecao,50000,1,3,1249975000,0,0.632282
Insercao,50000,1,3,49999,99998,0.000028
Shellsort,50000,1,3,569427,1138854,0.000510
Mergesort,50000,1,3,382512,1166976,0.000588
Heapsort,50000,1,3,1446610,2319912,0.002192
Quicksort,50000,1,3,658189,120473,0.000385
Introsort,50000,1,3,658189,120473,0.000348
Contagem,50000,1,3,49999,149999,0.000125
Balde,50000,1,3,99999,249999,0.001788
Radixsort C.,50000,1,3,0,900000,0.002483
Radixsort B.,50000,1,3,0,900000,0.010070
Bolha,50000,2,1,1249975000,3749925000,1.406630
Coquetel,50000,2,1,1249975000,3749925000,1.661900
Selecao,50000,2,1,1249975000,75000,0.591530
Insercao,50000,2,1,1249975000,1250074998,0.414297
Shellsort,50000,2,1,784918,1382612,0.000816
Mergesort,50000,2,1,401952,1568928,0.000892
Heapsort,50000,2,1,1297786,2096676,0.002271
Quicksort,50000,2,1,1041157,220942,0.000568
Introsort,50000,2,1,1416977,240844,0.000692
Contagem,50000,2,1,49999,100000,0.000143
Balde,50000,2,1,99999,200000,0.002202
Radixsort C.,50000,2,1,0,900000,0.002473
Radixsort B.,50000,2,1,0,900000,0.009916
Bolha,50000,2,2,1249975000,3749925000,1.388458
Coquetel,50000,2,2,1249975000,3749925000,1.708045
Selecao,50000,2,2,1249975000,75000,0.588647
Insercao,50000,2,2,1249975000,1250074998,0.417247
Shellsort,50000,2,2,784918,1382612,0.000757
Mergesort,50000,2,2,401952,1568928,0.000895
Heapsort,50000,2,2,1297786,2096676,0.002334
Quicksort,50000,2,2,1041157,220942,0.000583
Introsort,50000,2,2,1416977,240844,0.000655
Contagem,50000,2,2,49999,100000,0.000155
Balde,50000,2,2,99999,200000,0.002136
Radixsort C.,50000,2,2,0,900000,0.002503
Radixsort B.,50000,2,2,0,900000,0.009763
Bolha,50000,2,3,1249975000,3749925000,1.391900
Coquetel,50000,2,3,1249975000,3749925000,1.664348
Selecao,50000,2,3,1249975000,75000,0.588833
Insercao,50000,2,3,1249975000,1250074998,0.414627
Shellsort,50000,2,3,784918,1382612,0.000754
Mergesort,50000,2,3,401952,1568928,0.000890
Heapsort,50000,2,3,1297786,2096676,0.002276
Quicksort,50000,2,3,1041157,220942,0.000564
Introsort,50000,2,3,1416977,240844,0.000690
Contagem,50000,2,3,49999,100000,0.000121
Balde,50000,2,3,99999,200000,0.002219
Radixsort C.,50000,2,3,0,900000,0.002552
Radixsort B.,50000,2,3,0,900000,0.010231
Bolha,50000,3,1,1249972984,1872029562,2.662585
Coquetel,50000,3,1,937437499,1872029562,2.106137
Selecao,50000,3,1,1249975000,149976,0.624337
Insercao,50000,3,1,624059839,624109852,0.209222
Shellsort,50000,3,1,1174726,1767811,0.003600
Mergesort,50000,3,1,718017,1529969,0.003266
Heapsort,50000,3,1,1375214,2212818,0.003634
Quicksort,50000,3,1,1046372,518498,0.002566
Introsort,50000,3,1,902201,410954,0.002527
Contagem,50000,3,1,49999,100012,0.000931
Balde,50000,3,1,102015,202028,0.003239
Radixsort C.,50000,3,1,0,900000,0.002489
Radixsort B.,50000,3,1,0,900000,0.012891
Bolha,50000,3,2,1249952422,1878032268,2.669447
Coquetel,50000,3,2,939857940,1878032268,2.110214
Selecao,50000,3,2,1249975000,149946,0.635581
Insercao,50000,3,2,626060745,626110754,0.207236
Shellsort,50000,3,2,1175429,1768646,0.003502
Mergesort,50000,3,2,718174,1530319,0.003226
Heapsort,50000,3,2,1374900,2212347,0.003740
Quicksort,50000,3,2,1052910,531121,0.002551
Introsort,50000,3,2,914205,411118,0.002449
Contagem,50000,3,2,49999,100008,0.000970
